timestamp,container/edge-router_1/CPU_usage,container/edge-router_1/MEM_usage,container/edge-router_1/Cached_MEM_usage,container/edge-router_1/NET_Input,container/edge-router_1/NET_Output,container/edge-router_1/FS_usage,container/edge-router_1/FS_reads,container/edge-router_1/FS_writes,container/front-end_1/CPU_usage,container/front-end_1/MEM_usage,container/front-end_1/Cached_MEM_usage,container/front-end_1/NET_Input,container/front-end_1/NET_Output,container/front-end_1/FS_usage,container/front-end_1/FS_reads,container/front-end_1/FS_writes,service/edge-router:80/request_duration_seconds_count,service/edge-router:80/request_duration_seconds_bucket
1545209920,2.731127066,42856448,270336,360565.3575,363103.7941,53248,0,0,3.37982486,105377792,106496,20100.17159,347102.5548,81920,0,0,31.99941819,196.3055217
1545209910,2.390819482,42598400,270336,349153.5072,351530.3062,53248,0,0,3.315349818,107872256,106496,19520.96375,346752.4254,81920,0,0,30.59888731,199.9927275
1545209880,2.115645456,42598400,270336,271037.8424,273341.237,53248,0,0,3.277681325,91328512,106496,17794.80402,286546.3305,81920,0,0,34.70972199,203.4218804
1545209870,2.054739114,42319872,270336,263350.2325,265781.0042,53248,0,0,2.930227955,110895104,106496,16590.55707,252331.7882,81920,0,0,34.40062547,202.8582338
1545209840,2.829691189,37318656,270336,382306.8884,384800.8261,53248,0,0,3.745741347,108916736,106496,21177.63099,366371.9978,81920,0,0,33.855161,214.9675449
1545209810,2.869651838,37314560,270336,370673.2414,373386.8177,53248,0,0,3.391650068,94400512,106496,19597.30049,344881.3202,81920,0,0,32.90968927,199.5672649
1545209790,2.755112673,37314560,270336,354604.7841,357183.5267,53248,0,0,3.283839137,83333120,106496,20074.1779,336096.5124,81920,0,0,30.61428545,188.5941789
1545209770,2.644816734,37306368,270336,355971.5168,358590.1014,53248,0,0,3.570060505,78348288,106496,20425.7035,341849.9962,81920,0,0,31.56478417,195.3525583
1545209760,2.208203445,37433344,270336,291138.4033,293211.5123,53248,0,0,3.150359164,83550208,106496,18168.27577,291020.5381,81920,0,0,34.01818182,214.1090909
1545209750,2.903848885,37302272,270336,383000.1493,385737.4139,53248,0,0,3.814267424,91672576,106496,21757.91006,368030.3522,81920,0,0,32.52786414,204.967363
1545209740,2.970992313,37302272,270336,392907.6767,395717.7714,53248,0,0,3.893489093,91992064,106496,22257.4607,377564.5307,81920,0,0,36.43835118,230.4307508
1545209720,2.62606989,37302272,270336,337291.4444,339682.6451,53248,0,0,2.92089487,113721344,106496,17689.3483,306906.0431,81920,0,0,34.11157175,210.8698814
1545209680,3.125028132,37302272,270336,392604.7642,396082.4696,53248,0,0,3.795110979,112312320,106496,23295.10761,377267.3288,81920,0,0,33.01938252,196.9889814
